"","X","school.name","lat","lon","addr","zipcode","borough"
"72",72,"THE CINEMA SCHOOL",40.8324461,-73.8781481,"1551 E 172nd St, Bronx, NY 10472, USA",10472,"Bronx"
"73",73,"The Brooklyn School for Math and Research",40.6970064,-73.9117456,"400 Irving Ave, Brooklyn, NY 11237, USA",11237,"Brooklyn"
"74",74,"The Brooklyn Academy of Global Finance",40.6916161,-73.9332726,"125 Stuyvesant Ave, Brooklyn, NY 11221, USA",11221,"Brooklyn"
"75",75,"The Bronxwood Preparatory Academy",40.8882379,-73.85261,"921 E 228th St, Bronx, NY 10466, USA",10466,"Bronx"
"76",76,"Teachers Preparatory High School",40.6654883,-73.9120541,"Brooklyn, NY 11212, USA",11212,"Brooklyn"
"77",77,"Talent Unlimited High School",40.7660749,-73.9600658,"300 E 68th St, New York, NY 10065, USA",10065,"Manhattan"
"78",78,"Susan E. Wagner High School",40.5972873,-74.1251624,"1200 Manor Rd, Staten Island, NY 10314, USA",10314,"Staten Island"
"79",79,"Sunset Park High School",40.6551493,-74.0041149,"153 35th St, Brooklyn, NY 11232, USA",11232,"Brooklyn"
"80",80,"Summit Academy Charter School",40.6775869,-74.0047002,"27 Huntington St, Brooklyn, NY 11231, USA",11231,"Brooklyn"
"81",81,"Stuyvesant High School",40.7179842,-74.0138707,"345 Chambers St, New York, NY 10282, USA",10282,"Queens"
"82",82,"Stephen T. Mather Building Arts & Craftsmanship Hi",40.7638485,-73.9902785,"4, 439 W 49th St, New York, NY 10019, USA",10019,"Manhattan"
"83",83,"Staten Island Technical High School",40.5676214,-74.1181129,"485 Clawson St, Staten Island, NY 10306, USA",10306,"Staten Island"
"84",84,"Special Music School",40.7752064,-73.9831573,"129 W 67th St, New York, NY 10023, USA",10023,"Manhattan"
"85",85,"South Bronx Preparatory: A College Board School",40.8137231,-73.9206428,"360 E 145th St, Bronx, NY 10454, USA",10454,"Bronx"
"86",86,"Sheepshead Bay High School",40.59314,-73.936638,"3000 Avenue X, Brooklyn, NY 11235, USA",11235,"Brooklyn"
"87",87,"Secondary School for Law",40.6694296,-73.9788092,"237 7th Ave, Brooklyn, NY 11215, USA",11215,"Brooklyn"
"88",88,"Secondary School for Journalism",40.6694296,-73.9788092,"237 7th Ave, Brooklyn, NY 11215, USA",11215,"Brooklyn"
"89",89,"Science, Technology and Research Early College Hig",40.6495006,-73.9571733,"911 Flatbush Ave, Brooklyn, NY 11226, USA",11226,"Brooklyn"
"90",90,"Science Skills Center High School for Science, Tec",40.6975191,-73.9847778,"49 Flatbush Ave Ext, Brooklyn, NY 11201, USA",11201,"Brooklyn"
"91",91,"Schuylerville Preparatory High School",40.8401731,-73.8393567,"3000 E Tremont Ave, Bronx, NY 10461, USA",10461,"Bronx"
"92",92,"School of the Future High School",40.7390867,-73.9853658,"127 E 22nd St, New York, NY 10010, USA",10010,"Manhattan"
"93",93,"School for Tourism and Hospitality",40.8217781,-73.9027626,"900 Tinton Ave, Bronx, NY 10456, USA",10456,"Bronx"
"94",94,"School for Legal Studies",40.7117723,-73.9391255,"850 Grand St, Brooklyn, NY 11211, USA",11211,"Brooklyn"
"95",95,"School for International Studies",40.6853525,-73.9937249,"284 Baltic St, Brooklyn, NY 11201, USA",11201,"Brooklyn"
"96",96,"School for Human Rights, The",40.658665,-73.943838,"600 Kingston Ave, Brooklyn, NY 11203, USA",11203,"Brooklyn"
"97",97,"School for Excellence",40.8273033,-73.9045097,"1100 Boston Rd, Bronx, NY 10456, USA",10456,"Bronx"
"98",98,"School for Democracy and  Leadership",40.658665,-73.943838,"600 Kingston Ave, Brooklyn, NY 11203, USA",11203,"Brooklyn"
"99",99,"Scholars' Academy",40.5842665,-73.8251698,"320 Beach 104th St, Rockaway Park, NY 11694, USA",11694,"Queens"
"100",100,"Samuel Gompers Career and Technical Education High",40.810415,-73.9075759,"455 Southern Blvd, Bronx, NY 10455, USA",10455,"Bronx"
"101",101,"Rockaway Park High School for Environmental Sustai",40.5865189,-73.8234853,"100-00 Beach Channel Dr, Rockaway Park, NY 11694, USA",11694,"Queens"
"102",102,"Rockaway Collegiate High School",40.5866656,-73.823435,"100-00 Beach Channel Dr, Rockaway Park, NY 11694, USA",11694,"Queens"
"103",103,"Robert H. Goddard High School of Communication Art",40.6709381,-73.8456699,"138-30 Lafayette St, Ozone Park, NY 11417, USA",11417,"Queens"
"104",104,"Robert F. Wagner, Jr. Secondary School for Arts an",40.7414438,-73.9369395,"4707 30th Pl, Long Island City, NY 11101, USA",11101,"Queens"
"105",105,"Robert F. Kennedy Community High School",40.7253501,-73.8113253,"75-40 Parsons Blvd, Flushing, NY 11366, USA",11366,"Queens"
"106",106,"Riverdale / Kingsbridge Academy (Middle School / H",40.8876623,-73.9135704,"660 W 236th St, Bronx, NY 10463, USA",10463,"Bronx"
"107",107,"Richmond Hill High School",40.6949616,-73.8340778,"89-30 114th St, Richmond Hill, NY 11418, USA",11418,"Queens"
"108",108,"Richard R. Green High School of Teaching",40.7054431,-74.0129291,"7 Beaver St, New York, NY 10004, USA",10004,"Manhattan"
"109",109,"Repertory Company High School for Theatre Arts",40.7561154,-73.9844504,"123 W 43rd St #2, New York, NY 10036, USA",10036,"Manhattan"
"110",110,"Renaissance High School for Musical Theater & Tech",40.8401731,-73.8393567,"3000 E Tremont Ave, Bronx, NY 10461, USA",10461,"Bronx"
"111",111,"Renaissance Charter School",40.7499835,-73.8851717,"35-59 81st St, Jackson Heights, NY 11372, USA",11372,"Queens"
"112",112,"Renaissance Charter High School for Innovation",40.7850266,-73.9420076,"410 E 100th St #2nd, New York, NY 10029, USA",10029,"Manhattan"
"113",113,"Ralph R. McKee Career and Technical Education High",40.6427954,-74.0792526,"290 St Marks Pl, Staten Island, NY 10301, USA",10301,"Staten Island"
"114",114,"Rachel Carson High School for Coastal Studies",40.582487,-73.9718778,"521 West Ave, Brooklyn, NY 11224, USA",11224,"Brooklyn"
"115",115,"Quest to Learn",40.7433678,-74.0025475,"351 W 18th St, New York, NY 10011, USA",10011,"Manhattan"
"116",116,"Queens Vocational and Technical High School",40.741992,-73.927947,"37-02 47th Ave, Long Island City, NY 11101, USA",11101,"Queens"
"117",117,"Queens School of Inquiry, The",40.724191,-73.80937,"158-40 76th Rd, Flushing, NY 11366, USA",11366,"Queens"
"118",118,"Queens Preparatory Academy",40.6682778,-73.756888,"143-10 Springfield Blvd, Springfield Gardens, NY 11413, USA",11413,"Queens"
"119",119,"QUEENS METROPOLITAN HIGH SCHOOL",40.7085723,-73.8556439,"91-30 Metropolitan Ave, Forest Hills, NY 11375, USA",11375,"Queens"
"120",120,"Queens High School of Teaching, Liberal Arts and t",40.744121,-73.728799,"74-20 Commonwealth Blvd, Queens, NY 11426, USA",11426,"Queens"
"121",121,"Queens High School for the Sciences at York Colleg",40.7009286,-73.7983153,"94-50 159th St, Jamaica, NY 11451, USA",11451,"Queens"
"122",122,"Queens High School for Language Studies",40.7649086,-73.827688,"35-01 Union St, Flushing, NY 11354, USA",11354,"Queens"
"123",123,"Queens High School for Information, Research, and",40.601532,-73.763979,"8-21 Bay 25th St, Far Rockaway, NY 11691, USA",11691,"Queens"
"124",124,"Queens Gateway to Health Sciences Secondary School",40.718422,-73.8058837,"160-20 Goethals Ave, Jamaica, NY 11432, USA",11432,"Queens"
"125",125,"Queens Collegiate: A College Board School",40.7141939,-73.7979008,"16701 Gothic Dr, Jamaica, NY 11432, USA",11432,"Queens"
"126",126,"PROGRESS High School for Professional Careers",40.711809,-73.939075,"850 Grand St, Brooklyn, NY 11211, USA",11211,"Brooklyn"
"127",127,"Professional Performing Arts High School",40.7615598,-73.9884908,"328 W 48th St, New York, NY 10036, USA",10036,"Manhattan"
"128",128,"Preparatory Academy for Writers: A College Board S",40.6679692,-73.7580558,"143-10 Springfield Blvd, Springfield Gardens, NY 11413, USA",11413,"Queens"
"129",129,"Port Richmond High School",40.634843,-74.142015,"85 St Josephs Ave, Staten Island, NY 10302, USA",10302,"Staten Island"
"130",130,"Performing Arts and Technology High School",40.6668454,-73.8952889,"400 Pennsylvania Ave, Brooklyn, NY 11207, USA",11207,"Brooklyn"
"131",131,"Pelham Preparatory Academy",40.8603656,-73.8602473,"925 Astor Ave, Bronx, NY 10469, USA",10469,"Bronx"
"132",132,"Pelham Lab High School",40.8398127,-73.8379652,"3000 E Tremont Ave, Bronx, NY 10461, USA",10461,"Bronx"
"133",133,"Peace and Diversity Academy",40.827719,-73.8970008,"1180 Rev James A Polite Ave, Bronx, NY 10459, USA",10459,"Bronx"
"134",134,"Pathways in Technology Early College High School (",40.6759682,-73.9392494,"150 Albany Ave, Brooklyn, NY 11213, USA",11213,"Brooklyn"
"135",135,"Pathways College Preparatory School: A College Boa",40.7057537,-73.7527082,"109-89 204th St, St. Albans, NY 11412, USA",11412,"Queens"
"136",136,"Park Slope Collegiate",40.6694296,-73.9788092,"237 7th Ave, Brooklyn, NY 11215, USA",11215,"Brooklyn"
"137",137,"Park East High School",40.7903307,-73.9440649,"230 E 105th St, New York, NY 10029, USA",10029,"Manhattan"
"138",138,"Pan American International High School at Monroe",40.8321278,-73.8777215,"1300 Boynton Ave, Bronx, NY 10472, USA",10472,"Bronx"
"139",139,"Pan American International High School",40.743329,-73.871507,"45-10 94th St, Queens, NY 11373, USA",11373,"Queens"
"140",140,"Pace High School",40.7161208,-73.9940528,"100 Hester St, New York, NY 10002, USA",10002,"Manhattan"
"141",141,"Pablo Neruda Academy",40.8213444,-73.8556733,"1980 Lafayette Ave # 4, Bronx, NY 10473, USA",10473,"Bronx"
"142",142,"Origins High School",40.5934398,-73.9367824,"3000 Avenue X, Brooklyn, NY 11235, USA",11235,"Brooklyn"
"143",143,"Ocean Hill Collegiate Charter School",40.6780824,-73.9159194,"1137 Herkimer St, Brooklyn, NY 11233, USA",11233,"Brooklyn"
"144",144,"NYC iSchool",40.7244276,-74.0048709,"131 6th Ave, New York, NY 10013, USA",10013,"Manhattan"
"145",145,"NYC Charter High School for Architecture, Engineer",40.8218406,-73.9105384,"838 Brook Ave, Bronx, NY 10451, USA",10451,"Bronx"
"146",146,"Northside Charter High School",40.719717,-73.9484512,"424 Leonard St, Brooklyn, NY 11222, USA",11222,"Brooklyn"
"147",147,"Newtown High School",40.7408369,-73.8739856,"48-01 90th St, Elmhurst, NY 11373, USA",11373,"Queens"
"148",148,"Newcomers High School",40.7514349,-73.9369976,"28-01 41st Ave, Long Island City, NY 11101, USA",11101,"Queens"
"149",149,"New World High School",40.8883728,-73.8527494,"921 E 228th St, Bronx, NY 10466, USA",10466,"Bronx"
"150",150,"New Visions Charter High School for the Humanities",40.8775187,-73.9132554,"99 Terrace View Ave, Bronx, NY 10463, USA",10463,"Bronx"
"151",151,"New Visions Charter High School for Advanced Math",40.59314,-73.936638,"3000 Avenue X, Brooklyn, NY 11235, USA",11235,"Brooklyn"
"152",152,"New Utrecht High School",40.6134264,-74.0029406,"1601 80th St, Brooklyn, NY 11214, USA",11214,"Brooklyn"
"153",153,"New Heights Academy Charter School",40.8286152,-73.9454018,"1818 Amsterdam Ave, New York, NY 10031, USA",10031,"Manhattan"
"154",154,"New Explorers High School",40.8226154,-73.9233477,"730 Concourse Village W, Bronx, NY 10451, USA",10451,"Bronx"
"155",155,"New Explorations into Science, Technology and Math",40.719485,-73.979552,"111 Columbia St, New York, NY 10002, USA",10002,"Manhattan"
"156",156,"New Dorp High School",40.5695781,-74.1073767,"465 New Dorp Ln, Staten Island, NY 10306, USA",10306,"Staten Island"
"157",157,"New Design High School",40.7173162,-73.989318,"4, 350 Grand St, New York, NY 10002, USA",10002,"Manhattan"
"158",158,"Nelson Mandela High School",40.6789033,-73.9314906,"1700 Fulton St, Brooklyn, NY 11213, USA",11213,"Brooklyn"
"159",159,"N.Y.C. Museum School",40.7425709,-74.0023709,"333 W 17th St, New York, NY 10011, USA",10011,"Manhattan"
"160",160,"N.Y.C. Lab School for Collaborative Studies",40.7425709,-74.0023709,"333 W 17th St, New York, NY 10011, USA",10011,"Manhattan"
"161",161,"Murry Bergtraum High School for Business Careers",40.7113418,-74.0019945,"411 Pearl St, New York, NY 10038, USA",10038,"Manhattan"
"162",162,"Multicultural High School",40.6930052,-73.8690682,"999 Jamaica Ave, Brooklyn, NY 11208, USA",11208,"Brooklyn"
"163",163,"Mott Haven Village Preparatory High School",40.8181071,-73.9114331,"701 St Ann's Ave, Bronx, NY 10455, USA",10455,"Bronx"
"164",164,"Mott Hall V",40.8318874,-73.8772819,"1551 E 172nd St, Bronx, NY 10472, USA",10472,"Bronx"
"165",165,"Mott Hall High School",40.817349,-73.94745,"4, 6 Edgecombe Ave, New York, NY 10030, USA",10030,"Manhattan"
"166",166,"Mott Hall Bronx High School",40.8396148,-73.9017332,"1595 Bathgate Ave, Bronx, NY 10457, USA",10457,"Bronx"
"167",167,"Morris Academy for Collaborative Studies",40.8272169,-73.9039243,"1100 Boston Rd, Bronx, NY 10456, USA",10456,"Bronx"
"168",168,"Monroe Academy for Visual Arts & Design",40.8323001,-73.8785801,"1300 Boynton Ave, Bronx, NY 10472, USA",10472,"Bronx"
"169",169,"Millennium High School",40.7046866,-74.0112304,"75 Broad St, New York, NY 10004, USA",10004,"Manhattan"
"170",170,"Millennium Brooklyn HS",40.6693177,-73.9786411,"237 7th Ave, Brooklyn, NY 11215, USA",11215,"Brooklyn"
"171",171,"Millennium Art Academy",40.8213444,-73.8556733,"1980 Lafayette Ave, Bronx, NY 10473, USA",10473,"Bronx"
"172",172,"Midwood High School",40.632833,-73.9523773,"2839 Bedford Ave, Brooklyn, NY 11210, USA",11210,"Brooklyn"
"173",173,"Middle College High School at LaGuardia Community",40.7433449,-73.933675,"3101 Thomson Ave, Long Island City, NY 11101, USA",11101,"Queens"
"174",174,"Metropolitan High School, The",40.827733,-73.897018,"1180 Rev James A Polite Ave, Bronx, NY 10459, USA",10459,"Bronx"
"175",175,"Metropolitan Expeditionary Learning School",40.708521,-73.8556713,"91-30 Metropolitan Ave, Forest Hills, NY 11375, USA",11375,"Queens"
"176",176,"Medgar Evers College Preparatory School",40.6669914,-73.9511135,"1186 Carroll St, Brooklyn, NY 11225, USA",11225,"Brooklyn"
"177",177,"Mathematics, Science Research and Technology Magne",40.6981894,-73.7460088,"207-01 116th Ave, Cambria Heights, NY 11411, USA",11411,"Queens"
"178",178,"Math, Engineering, and Science Academy Charter Hig",40.695375,-73.9156662,"231 Palmetto St, Brooklyn, NY 11221, USA",11221,"Brooklyn"
"179",179,"Maspeth High School",40.7291993,-73.8876918,"54-40 74th St, Queens, NY 11373, USA",11373,"Queens"
"180",180,"Martin Van Buren High School",40.7336309,-73.7391435,"230-17 Hillside Avenue, Queens Village, NY 11427, USA",11427,"Queens"
"181",181,"Marta Valle High School",40.7205149,-73.9856828,"145 Stanton St, New York, NY 10002, USA",10002,"Manhattan"
"182",182,"Marble Hill High School for International Studies",40.8771416,-73.9126839,"99 Terrace View Ave, Bronx, NY 10463, USA",10463,"Bronx"
"183",183,"Manhattan Village Academy",40.7418899,-73.9923147,"43 W 22nd St, New York, NY 10010, USA",10010,"Manhattan"
"184",184,"Manhattan Theatre Lab High School",40.7747793,-73.98472,"122 Amsterdam Ave, New York, NY 10023, USA",10023,"Manhattan"
"185",185,"Manhattan International High School",40.7657337,-73.9598154,"317 E 67th St, New York, NY 10065, USA",10065,"Manhattan"
"186",186,"Manhattan Early College School for Advertising",40.7112756,-74.0012679,"411 Pearl St, New York, NY 10038, USA",10038,"Manhattan"
"187",187,"Manhattan Center for Science and Mathematics",40.7943534,-73.9329763,"280 Pleasant Ave, New York, NY 10029, USA",10029,"Manhattan"
"188",188,"MANHATTAN BUSINESS ACADEMY",40.7433678,-74.0025475,"351 W 18th St, New York, NY 10011, USA",10011,"Manhattan"
"189",189,"Manhattan Bridges High School",40.7652446,-73.9927375,"525 W 50th St, New York, NY 10019, USA",10019,"Manhattan"
"190",190,"MANHATTAN ACADEMY FOR ARTS & LANGUAGE",40.746433,-73.981123,"111 East 33rd Street, 5th Floor, New York, NY 10016, United States",10016,"Manhattan"
"191",191,"Manhattan / Hunter Science High School",40.7747793,-73.98472,"122 Amsterdam Ave, New York, NY 10023, USA",10023,"Manhattan"
"192",192,"M.S. 223 The Laboratory School of Finance and Tech",40.813829,-73.920879,"360 E 145th St, Bronx, NY 10454, USA",10454,"Bronx"
"193",193,"Lyons Community School",40.7097646,-73.9445188,"223 Graham Ave #337b, Brooklyn, NY 11206, USA",11206,"Brooklyn"
"194",194,"Lower Manhattan Arts Academy",40.7169645,-73.9895323,"350 Grand St, New York, NY 10002, USA",10002,"Manhattan"
"195",195,"Long Island City High School",40.7654697,-73.9330529,"14-30 Broadway, Astoria, NY 11106, USA",11106,"Queens"
"196",196,"Life Sciences Secondary School",40.7832825,-73.9459371,"320 E 96th St, New York, NY 10128, USA",10128,"Manhattan"
"197",197,"Life Academy High School for Film and Music",40.5935726,-73.985987,"2630 Benson Ave, Brooklyn, NY 11214, USA",11214,"Brooklyn"
"198",198,"Leon M. Goldstein High School for the Sciences",40.5803155,-73.9349246,"1830 Shore Blvd, Brooklyn, NY 11235, USA",11235,"Brooklyn"
"199",199,"Legacy School for Integrated Studies",40.7364053,-73.9957205,"34 W 14th St #2, New York, NY 10011, USA",10011,"Manhattan"
"200",200,"Leadership Institute",40.7288738,-73.9946334,"1 West 4th Street, New York, NY 10012, USA",10012,"Manhattan"
"201",201,"Leadership and Public Service High School",40.7089611,-74.0124334,"90 Trinity Pl, New York, NY 10006, USA",10006,"Manhattan"
"202",202,"Law, Government and Community Service High School",40.698328,-73.74615,"207-01 116th Ave, Cambria Heights, NY 11411, USA",11411,"Queens"
"203",203,"Landmark High School",40.7431223,-74.0025077,"351 W 18th St, New York, NY 10011, USA",10011,"Manhattan"
"204",204,"Kurt Hahn Expeditionary Learning School",40.6480464,-73.9222115,"5800 Tilden Ave, Brooklyn, NY 11203, USA",11203,"Brooklyn"
